model_path,folder,val_loss,val_acc,time_per_image,throughput
model_weights/final_checkpoint_efficientnet_batch_norm.pt,masked,0.49272146633769026,0.8579009900990099,0.002967939650658334,336.934074713475
model_weights/final_checkpoint_efficientnet_batch_norm.pt,clean,0.47389110941189055,0.8646732673267327,0.0029714935321619013,336.53110436772613
model_weights/final_checkpoint_efficientnet_batch_norm.pt,downsampled,3.4142898975787777,0.2972277227722772,0.0028718534129680974,348.20718755505254
model_weights/final_checkpoint_efficientnet_batch_norm.pt,blur_medium,1.464931994372075,0.619009900990099,0.002873462478713234,348.01220040562714
model_weights/final_checkpoint_efficientnet_batch_norm.pt,blur_little,0.7248078352466668,0.7960792079207921,0.002822242481873767,354.32816507533806
model_weights/final_checkpoint_efficientnet_batch_norm.pt,noise_rotation,0.6219632650655095,0.8222970297029703,0.002763724421510602,361.83057623864613
model_weights/final_checkpoint_efficientnet_linear_probe.pt,masked,1.5178467041714356,0.6091089108910891,0.0027637345247929638,361.82925350795466
model_weights/final_checkpoint_efficientnet_linear_probe.pt,clean,1.4695205734767536,0.6177029702970297,0.002795253064372752,357.7493618540751
model_weights/final_checkpoint_efficientnet_linear_probe.pt,downsampled,4.3319073629096,0.1060990099009901,0.00279231327359039,358.1260059385056
model_weights/final_checkpoint_efficientnet_linear_probe.pt,blur_medium,3.096221765234919,0.2851485148514851,0.002788358952739451,358.6338835670852
model_weights/final_checkpoint_efficientnet_linear_probe.pt,blur_little,2.1532224407762586,0.48067326732673266,0.0027820399067189435,359.4484743316895
model_weights/final_checkpoint_efficientnet_linear_probe.pt,noise_rotation,1.781345715966555,0.5505346534653466,0.0027956119763969194,357.7034325374562
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,masked,0.7231979283416036,0.7986138613861387,0.0027964595945754855,357.59501118477783
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,clean,0.6908867547231735,0.8064554455445545,0.0028116679616493755,355.66077276542353
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,downsampled,3.322537910348118,0.2563960396039604,0.002800462250662322,357.0839063313549
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,blur_medium,2.084309073438739,0.47615841584158414,0.002814058738179726,355.3586094108505
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,blur_little,1.1349694993472335,0.696039603960396,0.00280383824830008,356.6539548443221
model_weights/final_checkpoint_efficientnet_task_specific_adapters.pt,noise_rotation,0.9123587133624766,0.748990099009901,0.002800655034509036,357.0593263640923
